"MonitoringLocationIdentifier","AnalysisStartDate","CharacteristicName","ResultMeasureValue","ResultMeasure.MeasureUnitCode","LongitudeMeasure","LatitudeMeasure","airport"
"21ARIZ_WQX-66379",2005-03-06,"1,4-Dioxane",14,"ug/L",-110.9479394,32.1033067,TRUE
"21ARIZ_WQX-66379",2007-02-28,"1,4-Dioxane",4.6,"ug/L",-110.9479394,32.1033067,TRUE
"21ARIZ_WQX-66379",2007-06-01,"1,4-Dioxane",5.3,"ug/L",-110.9479394,32.1033067,TRUE
"21ARIZ_WQX-66379",2006-03-13,"1,4-Dioxane",10,"ug/L",-110.9479394,32.1033067,TRUE
"21ARIZ_WQX-66382",2007-06-18,"1,4-Dioxane",6.7,"ug/L",-110.9443392,32.1014411,TRUE
"21ARIZ_WQX-66382",2006-03-01,"1,4-Dioxane",9.3,"ug/L",-110.9443392,32.1014411,TRUE
"21ARIZ_WQX-66382",2005-03-05,"1,4-Dioxane",11,"ug/L",-110.9443392,32.1014411,TRUE
"21ARIZ_WQX-66397",2005-03-03,"1,4-Dioxane",4.7,"ug/L",-110.9533364,32.1026789,TRUE
"21ARIZ_WQX-66397",2007-03-01,"1,4-Dioxane",4.6,"ug/L",-110.9533364,32.1026789,TRUE
"21ARIZ_WQX-66397",2007-06-04,"1,4-Dioxane",15,"ug/L",-110.9533364,32.1026789,TRUE
"21ARIZ_WQX-66397",2006-03-01,"1,4-Dioxane",4.8,"ug/L",-110.9533364,32.1026789,TRUE
"21ARIZ_WQX-66398",2006-02-21,"1,4-Dioxane",4.1,"ug/L",-110.9585403,32.1048231,TRUE
"21ARIZ_WQX-66398",2007-02-14,"1,4-Dioxane",1.8,"ug/L",-110.9585403,32.1048231,TRUE
"21ARIZ_WQX-66398",2007-05-31,"1,4-Dioxane",2.7,"ug/L",-110.9585403,32.1048231,TRUE
"21ARIZ_WQX-66398",2005-02-28,"1,4-Dioxane",5.9,"ug/L",-110.9585403,32.1048231,TRUE
"21ARIZ_WQX-66401",2006-01-24,"1,4-Dioxane",11,"ug/L",-110.9394747,32.1021344,TRUE
"21ARIZ_WQX-66401",2005-03-03,"1,4-Dioxane",64,"ug/L",-110.9394747,32.1021344,TRUE
"21ARIZ_WQX-66401",2007-06-18,"1,4-Dioxane",90,"ug/L",-110.9394747,32.1021344,TRUE
"21ARIZ_WQX-66416",2007-03-14,"1,4-Dioxane",2.1,"ug/L",-110.9632575,32.1069494,FALSE
"21ARIZ_WQX-66416",2006-02-23,"1,4-Dioxane",4.7,"ug/L",-110.9632575,32.1069494,FALSE
"21ARIZ_WQX-66416",2005-02-25,"1,4-Dioxane",6,"ug/L",-110.9632575,32.1069494,FALSE
"21ARIZ_WQX-66416",2007-05-31,"1,4-Dioxane",2.1,"ug/L",-110.9632575,32.1069494,FALSE
"21ARIZ_WQX-66416",2005-02-25,"1,4-Dioxane",7.2,"ug/L",-110.9632575,32.1069494,FALSE
"21ARIZ_WQX-66420",2007-03-13,"1,4-Dioxane",2,"ug/L",-110.9648919,32.1108183,FALSE
"21ARIZ_WQX-66421",2007-08-27,"1,4-Dioxane",4.5,"ug/L",-110.9618744,32.1153353,FALSE
"21ARIZ_WQX-66422",2005-02-24,"1,4-Dioxane",7.3,"ug/L",-110.9354578,32.1047242,TRUE
"21ARIZ_WQX-66422",2007-06-18,"1,4-Dioxane",4.2,"ug/L",-110.9354578,32.1047242,TRUE
"21ARIZ_WQX-66422",2007-03-01,"1,4-Dioxane",3.9,"ug/L",-110.9354578,32.1047242,TRUE
"21ARIZ_WQX-66422",2006-02-07,"1,4-Dioxane",9.4,"ug/L",-110.9354578,32.1047242,TRUE
"21ARIZ_WQX-66422",2006-02-07,"1,4-Dioxane",7.8,"ug/L",-110.9354578,32.1047242,TRUE
"21ARIZ_WQX-66431",2007-08-27,"1,4-Dioxane",2.7,"ug/L",-110.9490061,32.1065447,TRUE
"21ARIZ_WQX-66431",2007-02-28,"1,4-Dioxane",3.1,"ug/L",-110.9490061,32.1065447,TRUE
"21ARIZ_WQX-66432",2007-03-05,"1,4-Dioxane",3.9,"ug/L",-110.9527667,32.1048967,TRUE
"21ARIZ_WQX-66445",2005-02-04,"1,4-Dioxane",1.1,"ug/L",-110.958785,32.0991206,TRUE
"21ARIZ_WQX-66445",2006-02-01,"1,4-Dioxane",1,"ug/L",-110.958785,32.0991206,TRUE
"21ARIZ_WQX-66445",2006-02-01,"1,4-Dioxane",1,"ug/L",-110.958785,32.0991206,TRUE
"21ARIZ_WQX-66446",2005-02-25,"1,4-Dioxane",7.9,"ug/L",-110.9437697,32.0951967,TRUE
"21ARIZ_WQX-66446",2006-02-20,"1,4-Dioxane",8.4,"ug/L",-110.9437697,32.0951967,TRUE
"21ARIZ_WQX-66446",2007-02-14,"1,4-Dioxane",6.3,"ug/L",-110.9437697,32.0951967,TRUE
"21ARIZ_WQX-66447",2006-02-20,"1,4-Dioxane",7.2,"ug/L",-110.93702,32.0977511,TRUE
"21ARIZ_WQX-66447",2007-03-08,"1,4-Dioxane",4.3,"ug/L",-110.93702,32.0977511,TRUE
"21ARIZ_WQX-66447",2005-02-14,"1,4-Dioxane",4.2,"ug/L",-110.93702,32.0977511,TRUE
"21ARIZ_WQX-66447",2006-02-20,"1,4-Dioxane",7.2,"ug/L",-110.93702,32.0977511,TRUE
"21ARIZ_WQX-66448",2007-06-19,"1,4-Dioxane",3,"ug/L",-110.9323497,32.0971956,TRUE
"21ARIZ_WQX-66448",2005-02-14,"1,4-Dioxane",2,"ug/L",-110.9323497,32.0971956,TRUE
